instance_type,az,spot_usd_per_hour,observed_at
c7g.xlarge,us-east-1a,0.076100,2026-08-13T15:00:00+00:00
c7g.xlarge,us-east-1c,0.062600,2026-08-13T14:00:00+00:00
c7g.xlarge,us-east-1f,0.056400,2026-08-13T14:00:00+00:00
c7g.xlarge,us-east-1b,0.070600,2026-08-13T13:00:00+00:00
c7g.xlarge,us-east-1d,0.075900,2026-08-13T12:00:00+00:00
c8g.xlarge,us-east-1f,0.057400,2026-08-13T14:00:00+00:00
c8g.xlarge,us-east-1a,0.084000,2026-08-13T14:00:00+00:00
c8g.xlarge,us-east-1b,0.075400,2026-08-13T11:00:00+00:00
c8g.xlarge,us-east-1c,0.069200,2026-08-13T09:00:00+00:00
c8g.xlarge,us-east-1d,0.071700,2026-08-13T09:00:00+00:00
c7i.xlarge,us-east-1b,0.073100,2026-08-13T14:00:00+00:00
c7i.xlarge,us-east-1d,0.073100,2026-08-13T14:00:00+00:00
c7i.xlarge,us-east-1a,0.070700,2026-08-13T12:00:00+00:00
c7i.xlarge,us-east-1c,0.070500,2026-08-13T11:00:00+00:00
c7i.xlarge,us-east-1f,0.060200,2026-08-13T10:00:00+00:00
c7a.xlarge,us-east-1c,0.080900,2026-08-13T15:00:00+00:00
c7a.xlarge,us-east-1a,0.072800,2026-08-13T15:00:00+00:00
c7a.xlarge,us-east-1f,0.081600,2026-08-13T14:00:00+00:00
c7a.xlarge,us-east-1b,0.072200,2026-08-13T11:00:00+00:00
c7a.xlarge,us-east-1d,0.084300,2026-08-13T09:00:00+00:00
c7a.2xlarge,us-east-1f,0.174800,2026-08-13T15:00:00+00:00
c7a.2xlarge,us-east-1c,0.193200,2026-08-13T13:00:00+00:00
c7a.2xlarge,us-east-1b,0.166600,2026-08-13T12:00:00+00:00
c7a.2xlarge,us-east-1a,0.162300,2026-08-13T12:00:00+00:00
c7a.2xlarge,us-east-1d,0.170100,2026-08-13T08:00:00+00:00
c8g.4xlarge,us-east-1f,0.238800,2026-08-13T16:00:00+00:00
c8g.4xlarge,us-east-1b,0.238200,2026-08-13T16:00:00+00:00
c8g.4xlarge,us-east-1a,0.256600,2026-08-13T15:00:00+00:00
c8g.4xlarge,us-east-1c,0.243800,2026-08-13T14:00:00+00:00
c8g.4xlarge,us-east-1d,0.253900,2026-08-13T08:00:00+00:00
c7a.4xlarge,us-east-1f,0.316500,2026-08-13T16:00:00+00:00
c7a.4xlarge,us-east-1b,0.365300,2026-08-13T16:00:00+00:00
c7a.4xlarge,us-east-1a,0.344800,2026-08-13T16:00:00+00:00
c7a.4xlarge,us-east-1c,0.381100,2026-08-13T14:00:00+00:00
c7a.4xlarge,us-east-1d,0.332300,2026-08-13T10:00:00+00:00
g5g.xlarge,us-east-1b,0.157400,2026-08-13T16:00:00+00:00
g5g.xlarge,us-east-1d,0.241700,2026-08-13T16:00:00+00:00
g5g.xlarge,us-east-1a,0.153800,2026-08-13T15:00:00+00:00
g5g.xlarge,us-east-1c,0.148400,2026-08-13T14:00:00+00:00
g4dn.xlarge,us-east-1b,0.321700,2026-08-13T16:00:00+00:00
g4dn.xlarge,us-east-1a,0.324400,2026-08-13T16:00:00+00:00
g4dn.xlarge,us-east-1c,0.329600,2026-08-13T14:00:00+00:00
g4dn.xlarge,us-east-1f,0.309100,2026-08-13T10:00:00+00:00
g4dn.xlarge,us-east-1d,0.308500,2026-08-13T10:00:00+00:00
g4dn.2xlarge,us-east-1b,0.397400,2026-08-13T16:00:00+00:00
g4dn.2xlarge,us-east-1a,0.339100,2026-08-13T13:00:00+00:00
g4dn.2xlarge,us-east-1c,0.391500,2026-08-13T12:00:00+00:00
g4dn.2xlarge,us-east-1f,0.319300,2026-08-13T11:00:00+00:00
g4dn.2xlarge,us-east-1d,0.360800,2026-08-13T10:00:00+00:00
g6.xlarge,us-east-1a,0.624900,2026-08-13T16:00:00+00:00
g6.xlarge,us-east-1c,0.804800,2026-08-13T15:00:00+00:00
g6.xlarge,us-east-1f,0.705900,2026-08-13T15:00:00+00:00
g6.xlarge,us-east-1b,0.796600,2026-08-13T13:00:00+00:00
g6.xlarge,us-east-1d,0.700700,2026-08-13T11:00:00+00:00
g5.xlarge,us-east-1c,0.472900,2026-08-13T16:00:00+00:00
g5.xlarge,us-east-1a,0.683400,2026-08-13T14:00:00+00:00
g5.xlarge,us-east-1b,0.570700,2026-08-13T13:00:00+00:00
g5.xlarge,us-east-1d,0.927700,2026-08-13T12:00:00+00:00
g5.xlarge,us-east-1f,0.508900,2026-08-13T08:00:00+00:00
g6e.xlarge,us-east-1d,1.735800,2026-08-13T16:00:00+00:00
g6e.xlarge,us-east-1a,1.528100,2026-08-13T12:00:00+00:00
g6e.xlarge,us-east-1c,1.579600,2026-08-13T11:00:00+00:00
g6e.xlarge,us-east-1b,1.451300,2026-08-13T10:00:00+00:00
c7g.medium,us-east-1b,0.015800,2026-08-13T16:00:00+00:00
c7g.medium,us-east-1d,0.014900,2026-08-13T16:00:00+00:00
c7g.medium,us-east-1f,0.010900,2026-08-13T15:00:00+00:00
c7g.medium,us-east-1c,0.012500,2026-08-13T14:00:00+00:00
c7g.medium,us-east-1a,0.015400,2026-08-13T11:00:00+00:00
c8g.medium,us-east-1b,0.013600,2026-08-13T17:00:00+00:00
c8g.medium,us-east-1f,0.007700,2026-08-13T15:00:00+00:00
c8g.medium,us-east-1d,0.015000,2026-08-13T12:00:00+00:00
c8g.medium,us-east-1c,0.014100,2026-08-13T11:00:00+00:00
c8g.medium,us-east-1a,0.023800,2026-08-13T11:00:00+00:00
c7g.large,us-east-1a,0.028300,2026-08-13T18:00:00+00:00
c7g.large,us-east-1c,0.024300,2026-08-13T16:00:00+00:00
c7g.large,us-east-1d,0.029600,2026-08-13T16:00:00+00:00
c7g.large,us-east-1b,0.029700,2026-08-13T15:00:00+00:00
c7g.large,us-east-1f,0.024100,2026-08-13T10:00:00+00:00
c8g.large,us-east-1d,0.029800,2026-08-13T17:00:00+00:00
c8g.large,us-east-1a,0.035400,2026-08-13T16:00:00+00:00
c8g.large,us-east-1f,0.027000,2026-08-13T15:00:00+00:00
c8g.large,us-east-1b,0.029000,2026-08-13T15:00:00+00:00
c8g.large,us-east-1c,0.027300,2026-08-13T13:00:00+00:00
c7a.large,us-east-1f,0.030500,2026-08-13T18:00:00+00:00
c7a.large,us-east-1b,0.029900,2026-08-13T18:00:00+00:00
c7a.large,us-east-1d,0.034300,2026-08-13T18:00:00+00:00
c7a.large,us-east-1c,0.031800,2026-08-13T15:00:00+00:00
c7a.large,us-east-1a,0.030700,2026-08-13T15:00:00+00:00
